Date,NGDP,WSGDP,COFS,Tax,DCPS,AGRO,GREV,GEXP,taxProfit,energyTotal,energyPopul,indexInstitute,indexBureau,indexPayment,indexDemocracy,iloUnempl,NPLa,NPLp,INFL,bvQ1,bvQ2,bvQ3,M2,M0,CH,SID,DR,CM,vTax
2009 Q4,3827.54,44.5633487827691,364.70301,17.7552683969338,35.9356304010168,10.8,765.945,791.1725,222.825,8725,1392,-2.53411621495592,-0.270790678211716,-1.77913009115165,-1.27101725987853,6.1,33.76,0.7,2.09245154314992,0,0,0,2073.70444,364.72328,2519.85833000038,250,19.8,17.5870294225729,679.59
2010 Q1,3290.84,52.0155948025428,368.1002,13.4600892173427,37.6545661276939,10.7,763.646875,807.6425,235.62625,8893.125,1412.0625,-2.53350995541044,-0.128894896623873,-1.69015750802407,-1.22969113179337,6.1075,28.09,0.55,2.45708375376268,1,0,0,2028.30459,368.12965,3024.4353800007,240,20,18.1481717201064,442.95
2010 Q2,3922.88,50.3173688718493,428.73708,14.0379007259972,39.3735018543709,10.6,761.34875,824.1125,248.4275,9061.25,1432.125,-2.53290369586495,0.0130008849639711,-1.51830708966254,-1.18836500370821,6.115,22.37,0.41,1.64561260050546,0,1,0,2311.3613,428.78354,3192.06403000035,230,18.5,18.5491156229015,550.69
2010 Q3,5000.57,42.6171416458524,475.85162,13.2804860245932,41.092437581048,10.5,759.050625,840.5825,261.22875,9229.375,1452.1875,-2.53229743631946,0.154896666551815,-1.36568753391323,-1.14703887562305,6.1225,30.65,0.5,2.52780744128787,0,0,1,2553.6938,475.89328,3472.1512399999,220,15.8,18.6338557896017,664.1
2010 Q4,4832.29,48.3731315794375,449.36963,15.2944049301677,42.8113733077251,10.4,756.7525,857.0525,274.03,9397.5,1472.25,-2.53169117677398,0.296792448139658,-1.16413112582216,-1.10571274753789,6.13,13.06,0.18,2.94682492029172,0,0,0,2642.50331,449.39023,1907.74247,210,15.2,17.0054519250536,739.07
2011 Q1,4660.53,51.5600157063682,457.45741,11.2751124872064,41.5981845724064,10.325,906.253125,967.480625,318.055625,9410.625,1486,-2.55461365701366,0.293658713574158,-1.17113888689011,-1.25598201116741,6.1225,21.8,0.27,6.11855208654581,1,0,0,2674.87288,457.50601,1337.51417,605,15.7,17.102024302553,525.48
2011 Q2,6461.96,42.5205355650608,633.40676,13.4700617150214,40.3849958370876,10.25,1055.75375,1077.90875,362.08125,9423.75,1499.75,-2.57753613725335,0.290524979008658,-1.06995541832257,-1.40625127479692,6.115,21.87,0.25,28.3718891585597,0,1,0,3252.83093,633.46288,1699.07808,1000,21.7,19.472477163146,870.43
2011 Q3,8611.72,38.3477400565741,772.61977,12.3776667146633,39.1718071017689,10.175,1205.254375,1188.336875,406.106875,9436.875,1513.5,-2.60045861749303,0.287391244443158,-0.995596939718173,-1.55652053842643,6.1075,18.89,0.2,28.0787034345517,0,0,1,3864.12933,772.70587,2239.38551593676,1395,33.6,19.9946664311052,1065.93
2011 Q4,10990.29,37.2204009175372,671.11219,13.2982842127005,37.9586183664502,10.1,1354.755,1298.765,450.1325,9450,1527.25,-2.62338109773271,0.284257509877658,-0.892087711978039,-1.70678980205595,6.1,18.2,0.18,19.60924111248,0,0,0,4335.46153,671.17553,4488.69836017944,1790,48.8,15.4796020067557,1461.52
2012 Q1,10621.92,45.0760314519409,719.81024,12.7814933646648,33.9133528840449,10.05,1610.95375,1573.34625,580.43125,9487.5,1541.0625,-2.55629925671545,0.235977527646398,-0.826517310819208,-1.38408158613311,6.095,22.22,0.21,5.01123508031689,1,0,0,4745.01394,719.92427,4311.13902986368,1987.5,47.2,15.1698235053025,1357.64
2012 Q2,13750.47,41.0907408983111,949.26589,13.8596717057671,29.8680874016396,10,1867.1525,1847.9275,710.73,9525,1554.875,-2.48921741569819,0.187697545415139,-0.745290324783381,-1.06137337021027,6.09,24.99,0.24,5.19614344795833,0,1,0,5661.79193,949.35134,3572.92898124997,2185,36.6,16.7661740617868,1905.77
2012 Q3,14797.06,42.8989948003184,1043.40931,13.5702632820304,25.8228219192342,9.95,2123.35125,2122.50875,841.02875,9562.5,1568.6875,-2.42213557468092,0.139417563183879,-0.604247785762943,-0.73866515428744,6.085,23.42,0.2,5.04831627700713,0,0,1,6078.59274,1043.57194,3326.35948000041,2382.5,31.7,17.1653103708343,2008
2012 Q4,15592.22,44.8088854569779,1130.64377,14.2585212368733,21.7775564368289,9.9,2379.55,2397.09,971.3275,9600,1582.5,-2.35505373366366,0.09113758095262,-0.384552791826317,-0.415956938364604,6.08,29.41,0.25,4.93997138656828,0,0,0,6866.94785,1130.72819,3240.1924249941,2580,39.6,16.4650117446283,2223.22
2013 Q1,13701.36,54.4556160848266,1180.83796,13.5398967693718,22.0647179580559,9.775,2445.935625,2473.2025,1031.72625,9567.3125,1586,-2.34357924511511,0.105074308700963,-0.239217448399772,-0.344314035691846,6.075,44,0.35,5.38277672881671,1,0,0,7223.04833,1180.98038,3369.59665568241,2630,37.9,16.3481940871909,1855.15
2013 Q2,16372.03,50.5663622654002,1383.57479,14.0269716095072,22.3518794792829,9.65,2512.32125,2549.315,1092.125,9534.625,1589.5,-2.33210475656657,0.119011036449306,0.000676336735388583,-0.272671133019087,6.07,46.35,0.37,1.51600873277649,0,1,0,8072.36987,1383.72602,3807.46333517281,3050,27.1,17.1396357238522,2296.5
2013 Q3,18573.68,48.3299486154602,1342.28119,13.3076482420285,22.63904100051,9.525,2578.706875,2625.4275,1152.52375,9501.9375,1593,-2.32063026801802,0.132947764197648,0.0942240680482249,-0.201028230346329,6.065,63.27,0.47,2.80004503429951,0,0,1,7910.73625,1342.40639,4146.63462208007,3240,34.9,16.96784152044,2471.72
2013 Q4,18421.78,49.883561740505,1230.12879,13.199538806782,22.926202521737,9.4,2645.0925,2701.54,1212.9225,9469.25,1596.5,-2.30915577946948,0.146884491945991,0.268641241642155,-0.129385327673572,6.06,89.51,0.67,5.90031620155096,0,0,0,7933.12044,1230.1997,3738.1765838158,3569.6,43.9,15.5062411985768,2431.59
2014 Q1,16670.21,54.0772431781003,1210.98285,14.2225562845339,23.1028174188634,9.4,2785.08,2793.52875,1235.229375,9480.375,1597.1875,-2.23726361680032,0.0835073541801678,0.41242867851878,0.198069000860579,6.04,150.86,1.09,4.93779460049895,1,0,0,8252.95292,1211.14864,2913.94055335003,3682.1,42,14.6733279801625,2370.93
2014 Q2,19125.68,51.7400165641169,1356.17916,13.4291695772386,23.2794323159897,9.4,2925.0675,2885.5175,1257.53625,9491.5,1597.875,-2.16537145413117,0.0201302164143443,0.576885864349213,0.525523329394729,6.02,122.44,0.87,4.99960757602995,0,1,0,8862.87352,1356.33661,3012.08808248647,4012.3,34.9,15.3017997711424,2568.42
2014 Q3,22635.56,45.6501628411226,1400.75989,12.6400230433884,23.4560472131161,9.4,3065.055,2977.50625,1279.843125,9502.625,1598.5625,-2.09347929146201,-0.0432469213514792,0.668267321591223,0.852977657928881,6,128.47,0.87,2.90717863999999,0,0,1,9859.243152,1400.9175,3928.57922699688,4179.5,30.3,14.2075803223886,2861.14
2014 Q4,22147.82,47.5809808820913,1392.06796,14.1894777905907,23.6326621102425,9.4,3205.0425,3069.495,1302.15,9513.75,1599.25,-2.02158712879286,-0.106624059117303,0.726011454256352,1.18043198646303,5.98,119.8,0.74,2.49926766559998,0,0,0,9084.45082,1392.38109,2882.81738195992,4838,32,15.3236336194949,3142.66
2015 Q1,19821.31,50.850069949968,1334.77071,16.2253150775605,24.6952016064162,9.45,3448.863125,3253.0025,1344.2875,9438.6875,1612,-2.01865417964967,-0.0906735268652572,0.723047407598518,1.19922044205674,5.9625,173.3,1.09,4.91254620199999,1,0,0,9146.16863,1334.99676,2344.23077655597,5449.5,40.1,14.5937688664723,3216.07
2015 Q2,21597.59,49.716797105603,1543.12399,15.4217206642037,25.7577411025899,9.5,3692.68375,3436.51,1386.425,9363.625,1624.75,-2.01572123050648,-0.0747229946132118,0.751053597366873,1.21800889765046,5.945,196.3,1.22,2.28705212,0,1,0,10032.51979,1543.37736,1673.33595224049,5522.4,29.4,15.3812204939593,3330.72
2015 Q3,24524.41,44.9228340253649,1515.06285,12.6065010330524,26.8202805987636,9.55,3936.504375,3620.0175,1428.5625,9288.5625,1637.5,-2.01278828136329,-0.0587724623611663,0.871363586866799,1.23679735324417,5.9275,193.2,1.19,1.7661871446,0,0,1,9605.08943,1515.3318,2077.09199083888,8342.8,27.8,15.7735423604484,3091.67
2015 Q4,23966.5,46.2923664281393,1423.43796,13.6769240398056,27.8828200949374,9.6,4180.325,3803.525,1470.7,9213.5,1650.25,-2.00985533222009,-0.0428219301091207,0.878631150102645,1.25558580883788,5.91,173.9,1.04,2.52975180799997,0,0,0,9049.62828,1423.6082,1953.65277844196,9744.3,26.3,15.7292423065138,3277.88
2016 Q1,21121.7,50.4249184487991,1364.69856,16.6667455744566,27.3413723566931,9.6,4245.45625,3899.55,1494.45625,9197.1875,1655.75,-1.97097916191023,-0.0516806964204465,1.03174713053157,1.48719814830853,5.8925,303.8,1.84,5.69416624579999,1,0,0,8412.898202,1364.9471,1956.42157045922,10100.7,26.4,16.2215033063822,3520.3
2016 Q2,23052.5,49.0259190977117,1692.36153,16.114521201605,26.7999246184489,9.6,4310.5875,3995.575,1518.2125,9180.875,1661.25,-1.93210299160036,-0.0605394627317723,1.16314224625834,1.71881048777918,5.875,393.1,2.29,1.5981725681,0,1,0,9244.117659,1692.7634,1868.32362880094,9674.9,23.8,18.3074425535068,3714.8
2016 Q3,25720.6,44.3694937132104,1608.262925,13.883035387977,26.2584768802047,9.6,4375.71875,4091.6,1541.96875,9164.5625,1666.75,-1.89322682129049,-0.069398229043098,1.17878704249786,1.95042282724983,5.8575,480.2,2.94,0.870811482500011,0,0,1,9798.63186,1608.642,2382.52850356605,10143.9,19.9,16.4131375479597,3570.8
2016 Q4,25054.2,45.8206608073696,1790.425621,13.819639022599,25.7170291419604,9.6,4440.85,4187.625,1565.725,9148.25,1672.25,-1.85435065098063,-0.0782569953544238,1.20209078914099,2.18203516672048,5.84,334.6,1.99,2.083982336,0,0,0,10807.72592,1790.619,2420.12322134821,10234.2,19,16.5661641889601,3462.4
2017 Q1,22652.4,49.8591760696438,1778.8829,16.8776818350373,25.8468004560115,9.6,4566.375,4203.275,1627.65,9180.375,1666.1875,-1.82909817044503,-0.0297406508344439,1.21992644053744,2.15127523125052,5.7925,450.6,2.74,1.6986591544,1,0,0,10939.41978,1779.271,2237.15588749805,9583.8,15.8,16.2612180149832,3823.2
2017 Q2,25341.2,48.3074992502328,2090.35467,15.1425346865973,25.9765717700626,9.6,4691.9,4218.925,1689.575,9212.5,1660.125,-1.80384568990942,0.0187756936855359,1.34060638434585,2.12051529578055,5.745,224.2,1.29,1.65853512080001,0,1,0,12276.26738,2090.814,4313.46693859196,9562.8,12.3,17.0276078656084,3837.3
2017 Q3,28569.2,44.2914047295689,2260.082256,13.2488834129062,26.1063430841136,9.6,4817.425,4234.575,1751.5,9244.625,1654.0625,-1.77859320937382,0.0672920382055158,1.44291106018358,2.08975536031059,5.6975,136.6,0.75,-0.651378827500004,0,0,1,12602.87111,2260.521,3437.02021860528,9416,10.1,17.9330744262448,3785.1
2017 Q4,29185.4,46.1778834622791,2346.240515,14.2650092169372,26.2361143981647,9.6,4942.95,4250.225,1813.425,9276.75,1648,-1.75334072883822,0.115808382725496,1.52641780608005,2.05899542484063,5.65,94.9,0.47,1.82821418000001,0,0,0,14070.15299631,2346.552,4282.18038842333,9175.6,9.6,16.6753020782028,4163.3
2018 Q1,26766.1,50.4892382528646,2350.901781,17.2688587429622,26.58060931262,9.525,5231.5375,4420.7,1887.59375,9328.625,1646.5625,-1.74511177441701,0.0182889746938576,1.53469702747798,1.99899995386911,5.4275,109.2,0.53,2.45982623500003,1,0,0,13904.08425,2351.298,3962.08751352991,9309.8,9.58,16.907994361441,4622.2
2018 Q2,29341.8,48.7659243809173,2662.654428,16.6561015343299,26.9251042270754,9.45,5520.125,4591.175,1961.7625,9380.5,1645.125,-1.73688281999579,-0.0792304333377804,1.58553888904548,1.9390044828976,5.205,122.5,0.58,0.439227508399975,0,1,0,14875.8473,2663.111,3826.87066059933,9255.8,9.81,17.8991782740335,4887.2
2018 Q3,33127.3,44.5351718974984,2850.501293,14.9311896834333,27.2695991415307,9.375,5808.7125,4761.65,2035.93125,9432.375,1643.6875,-1.72865386557457,-0.176749841369418,1.64489338407138,1.87900901192608,4.9825,131.5,0.59,0.779547315200002,0,0,1,15595.1335,2851.207,4083.65042027816,9631.8,9.92,18.2781461473222,4946.3
2018 Q4,33084.5,47.1220662243649,2991.095293,15.2648521210839,27.6140940559861,9.3,6097.3,4932.125,2110.1,9484.25,1642.25,-1.72042491115335,-0.274269249401056,1.7202681952979,1.81901354095456,4.76,110.9,0.47,1.91182399999998,0,0,0,16898.9653,2991.555,4203.52281349431,8887.6,9.78,17.699872388045,5050.3
2019 Q1,29566.3,51.713944592323,2985.757136,16.2894917524344,27.9027908679178,9.15,6090.13125,5020.75625,2189.76875,9495.25,1638.5625,-1.69378823305081,-0.273901990664324,1.74320355923819,1.84917556854385,4.7475,82.4,0.35,2.62054679999997,1,0,0,17033.0831,2986.714,4247.48292331193,8749,10.44,17.5291643824599,4816.2
2019 Q2,32163,50.583278922986,3241.662474,14.1361191431148,28.1914876798496,9,6082.9625,5109.3875,2269.4375,9506.25,1634.875,-1.66715155494828,-0.273534731927592,1.82831690871556,1.87933759613315,4.735,81.7,0.32,0.239779879999991,0,1,0,18081.167,3243.103,4570.41442710288,8997.1,10.76,17.9283918676267,4546.6
2019 Q3,36871.9,45.5368451313873,3420.130485,13.8053639763614,28.4801844917813,8.85,6075.79375,5198.01875,2349.10625,9517.25,1631.1875,-1.64051487684574,-0.27316747319086,1.88958921710702,1.90949962372244,4.7225,81.8,0.32,0.49959799999999,0,0,1,19471.38074,3420.963,5980.99533952476,8709.4,10.79,17.5649099089005,5090.3
2019 Q4,36130.9,47.9041485266074,3707.415456,13.0865823989992,28.7688813037131,8.7,6068.625,5286.65,2428.775,9528.25,1627.5,-1.6138781987432,-0.272800214454127,1.96402846893543,1.93966165131173,4.71,73.4,0.25,1.20450499999998,0,0,0,21523.33553224,3708.306,5556.60937645128,8750.8,10.59,17.2250971530255,4728.3
2020 Q1,33002.5,52.2078630406787,3534.521734,14.5337474433755,29.8538200905081,8.7,6031.375,5583.1625,2412.78125,9532.8125,1641.125,-1.69370908295582,0.013399457048816,1.99886273480859,1.61214616234387,4.8525,89.6,0.31,2.82618099999998,1,0,0,19813.91614981,3535.471,4715.40206823405,10424.6,10.6,17.8385822735698,4796.5
2020 Q2,34398,51.7745217745218,4113.307569,12.6705040990755,30.9387588773031,8.7,5994.125,5879.675,2396.7875,9537.375,1654.75,-1.77353996716843,0.29959912855176,1.99323750537701,1.28463067337602,4.995,95.5,0.32,0.700398799999991,0,1,0,21767.43820279,4113.655,4215.72043156374,9308.3,10.58,18.8966084602128,4358.4
2020 Q3,40886,45.5681651421024,4008.866267,13.3869784278237,32.0236976640981,8.7,5956.875,6176.1875,2380.79375,9541.9375,1668.375,-1.85337085138104,0.585798800054703,2.02760804378631,0.957115184408164,5.1375,123.9,0.4,1.30400359999998,0,0,1,19830.8996,4009.289,2957.44728299524,10498.3,11.16,20.215251692364,5473.4
2020 Q4,41434.3,46.6939226679345,4123.830983,13.6843146861417,33.1086364508932,8.7,5919.625,6472.7,2364.8,9546.5,1682,-1.93320173559366,0.871998471557647,1.97347433246073,0.62959969544031,5.28,99.3,0.31,2.5198504,0,0,0,20816.2418,4124.038,2960.88398383314,9876.6,12.86,19.8106412416866,5670
